Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
Greenview Residence,Bandar Sungai Long,Selangor,Freehold,Condominium,650000,479,12
TAMAN UNIVERSITI INDAH,Seri Kembangan,Selangor,Freehold,"Terrace House, Semi D",582500,477,24
Cybersquare,Cyberjaya,Selangor,Freehold,Service Residence,250000,476,16
Mahsuri Square,Bayan Baru,Penang,Leasehold,Condominium,498000,476,11
TAMAN MERANTI JAYA,Puchong,Selangor,Freehold,Terrace House,1075000,475,10
TAMAN SUTERA UTAMA,Skudai,Johor,Freehold,"Cluster House, Terrace House",1065000,474,36
TAMAN CHERAS IDAMAN,Cheras,Selangor,"Leasehold, Freehold",Terrace House,830000,473,11
SETIA IMPIAN 7,Setia Alam,Selangor,Freehold,Semi D,789000,473,10
Idaman Selasih,Bayan Lepas,Penang,Freehold,Flat,320000,472,25
Jadite Suites,Kajang,Selangor,Freehold,Service Residence,688800,472,22
